1. Ano,2. Nome Região (Portugal),3. Filtro 1,4. Filtro 2,5. Filtro 3,6. Escala,7. Símbolo,8. Valor
1997,Portugal,Golfe,,, pessoas,,5519
1997,Portugal,Halterofilismo,,, pessoas,,238
1997,Portugal,Hóquei,,, pessoas,,1215
1997,Portugal,Hovercraft,,, pessoas,-,
1997,Portugal,Jet Ski,,, pessoas,,157
1997,Portugal,Ju-Jitsu e Disciplinas Associadas,,, pessoas,x,
1997,Portugal,Judo,,, pessoas,x,
1997,Portugal,Karate,,, pessoas,-,
1997,Portugal,Kickboxing,,, pessoas,,1327
1997,Portugal,Lohan Tao Kempo,,, pessoas,-,
1997,Portugal,Lutas Amadoras,,, pessoas,,1342
1997,Portugal,Minigolfe,,, pessoas,-,
1997,Portugal,Motociclismo,,, pessoas,,928
1997,Portugal,Motonáutica,,, pessoas,,146
1997,Portugal,Natação,,, pessoas,,4981
1997,Portugal,Orientação,,, pessoas,,786
1997,Portugal,Padel,,, pessoas,-,
1997,Portugal,Paraquedismo,,, pessoas,,1096
1997,Portugal,Patinagem,,, pessoas,,8091
1997,Portugal,Pentatlo Moderno,,, pessoas,,131
1997,Portugal,Pesca Desportiva,,, pessoas,,3957
1997,Portugal,Pesca Desportiva do Alto Mar,,, pessoas,,119
1997,Portugal,Petanca,,, pessoas,,931
1997,Portugal,Remo,,, pessoas,,1197
1997,Portugal,Rugby,,, pessoas,,3126
1997,Portugal,Ski Náutico,,, pessoas,,34
1997,Portugal,Squash,,, pessoas,,240
1997,Portugal,Surf,,, pessoas,,1026
1997,Portugal,Taekwondo,,, pessoas,,1282
1997,Portugal,Ténis,,, pessoas,,7940
1997,Portugal,Ténis de Mesa,,, pessoas,,4456
1997,Portugal,Tiro,,, pessoas,,2247
1997,Portugal,Tiro com Arco,,, pessoas,,337
1997,Portugal,Tiro com Armas de Caça,,, pessoas,,2502
1997,Portugal,Total,,, pessoas,,271470
1997,Portugal,Trampolins e Desp. Acrobáticos,,, pessoas,,3355
